subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
17,0.597006,0.085476,13767,4,4
21,0.633908,0.103927,13887,4,4
15,0.581804,0.077874,13748,2,3
9,0.514772,0.044358,13363,4,3
11,0.539931,0.056938,13671,4,3
11,0.535747,0.054846,13943,4,4
13,0.556734,0.065340,13839,4,4
10,0.531052,0.052499,14030,4,4
14,0.566847,0.070396,14308,4,4
9,0.515424,0.044684,14198,4,4
7,0.498185,0.036065,13890,4,4
4,0.467031,0.020488,12112,4,3
9,0.521725,0.047835,14293,4,4
9,0.521301,0.047623,14580,4,4
10,0.522713,0.048329,14410,4,3
7,0.495870,0.034907,13805,4,4
10,0.525824,0.049884,13955,2,3
11,0.534976,0.054461,14071,4,4
15,0.573896,0.073921,14072,4,3
15,0.579182,0.076563,13996,4,3
6,0.484897,0.029421,13331,4,4
4,0.464369,0.019157,10755,4,3
4,0.467312,0.020629,10038,4,4
6,0.490705,0.032325,12881,2,3
10,0.529679,0.051812,13456,4,4
13,0.556397,0.065171,13577,4,4
7,0.497134,0.035540,13109,4,4
6,0.490173,0.032059,12705,4,4
7,0.501766,0.037855,12989,4,4
6,0.488974,0.031460,12989,4,3
11,0.538368,0.056157,13617,4,4
12,0.544821,0.059383,13606,4,3
5,0.478069,0.026007,13106,4,4
7,0.496349,0.035147,13303,4,3
8,0.507426,0.040686,13344,4,4
7,0.497404,0.035675,13304,4,4
11,0.536200,0.055073,13419,4,4
19,0.622881,0.098413,13900,4,3
11,0.536936,0.055441,13657,4,4
9,0.518113,0.046029,13645,4,4
10,0.527716,0.050831,13671,4,3
17,0.598437,0.086191,13879,4,4
18,0.604203,0.089074,14057,4,3
13,0.561903,0.067924,13811,4,4
7,0.496055,0.035000,13310,4,4
16,0.586517,0.080231,13893,4,4
11,0.539558,0.056751,13820,4,4
16,0.591021,0.082483,13958,4,4
9,0.512809,0.043377,13634,4,3
11,0.534833,0.054389,13505,4,4
7,0.496730,0.035338,13366,2,3
14,0.568128,0.071037,13911,4,3
13,0.553895,0.063920,13889,4,4
9,0.515334,0.044639,13617,4,4
14,0.566688,0.070316,13836,4,3
17,0.602372,0.088158,14123,4,3
16,0.589411,0.081678,14177,4,4
23,0.661977,0.117961,14130,4,4
15,0.576375,0.075160,14127,4,4
7,0.496731,0.035338,13513,4,3
11,0.534362,0.054153,13572,4,4
17,0.596687,0.085316,13609,2,3
7,0.497330,0.035638,13042,4,4
17,0.597044,0.085495,13693,2,3
12,0.544686,0.059316,13372,2,3
10,0.523583,0.048764,13150,4,4
11,0.538431,0.056188,13371,4,4
11,0.536739,0.055342,13614,2,3
24,0.670197,0.122071,13721,5,4
8,0.511261,0.042603,13270,4,4
7,0.499371,0.036658,12962,4,4
11,0.540512,0.057228,13097,5,4
16,0.586460,0.080203,13374,5,4
18,0.605151,0.089548,13519,4,4
9,0.516805,0.045375,13116,2,3
7,0.502226,0.038086,12867,4,4
15,0.577113,0.075529,13403,2,3
13,0.556426,0.065186,13317,2,3
27,0.704070,0.139008,13434,4,4
12,0.548297,0.061121,13091,2,3
12,0.550209,0.062077,13163,2,3
11,0.538005,0.055975,13203,2,3
16,0.586689,0.080317,13409,2,3
16,0.589668,0.081806,13184,7,5
13,0.558901,0.066423,13274,6,5
12,0.548613,0.061279,13214,2,3
14,0.566567,0.070256,13122,2,3
14,0.571839,0.072892,13005,2,3
21,0.635785,0.104865,13120,6,5
12,0.547853,0.060899,12699,7,5
9,0.513241,0.043593,12644,4,4
16,0.584079,0.079012,13002,6,5
12,0.551104,0.062524,12969,2,3
14,0.567062,0.070503,13234,0,0
6,0.483575,0.028760,12539,2,3
8,0.507437,0.040691,12673,7,5
13,0.560365,0.067155,13105,4,4
13,0.553474,0.063710,13133,4,4
9,0.512956,0.043451,12798,6,5
5,0.476790,0.025368,11816,0,2
8,0.506279,0.040112,12203,6,5
12,0.552517,0.063231,12714,4,4
21,0.638272,0.106109,12984,4,4
14,0.565874,0.069910,12890,5,4
7,0.496117,0.035031,12709,5,4
13,0.552897,0.063421,13350,2,3
8,0.507517,0.040731,13117,5,4
15,0.577212,0.075579,13414,5,4
10,0.527121,0.050533,13183,4,4
6,0.491536,0.032741,12647,5,4
8,0.510029,0.041987,12989,5,4
13,0.559152,0.066548,13287,5,4
13,0.561387,0.067666,13294,4,4
11,0.539397,0.056671,13254,5,4
8,0.506088,0.040017,13158,4,4
13,0.558800,0.066373,13388,5,4
8,0.507567,0.040756,13375,5,4
17,0.602828,0.088386,13510,5,4
10,0.526403,0.050174,13052,5,4
10,0.530498,0.052221,12749,5,4
15,0.578869,0.076407,12720,5,4
16,0.591811,0.082878,12588,5,4
14,0.565728,0.069837,12641,5,4
14,0.563306,0.068625,12630,5,4
10,0.522511,0.048228,12661,5,4
11,0.532895,0.053420,12540,5,4
14,0.566632,0.070288,12731,5,4
11,0.534194,0.054069,12775,5,4
13,0.557005,0.065475,12428,5,4
15,0.580619,0.077282,12391,5,4
12,0.547194,0.060570,12381,5,4
14,0.562897,0.068421,12475,5,4
12,0.549286,0.061616,12383,5,4
20,0.623854,0.098900,12594,5,4
13,0.556617,0.065281,12480,4,4
9,0.518609,0.046277,12485,5,4
13,0.556759,0.065352,12327,4,4
24,0.664773,0.119359,12380,5,4
36,0.788602,0.181274,12240,4,4
7,0.494301,0.034123,11554,4,4
6,0.491264,0.032605,11318,5,4
8,0.504576,0.039261,11604,5,4
11,0.536078,0.055012,11710,5,4
25,0.675433,0.124689,11635,5,4
12,0.543961,0.058953,11554,4,4
4,0.465414,0.019680,8700,2,3
12,0.544746,0.059346,11377,5,4
8,0.504452,0.039198,11166,4,4
10,0.526327,0.050136,11290,4,4
13,0.558333,0.066139,11023,5,4
11,0.538044,0.055995,10764,2,3
6,0.482145,0.028045,10298,4,4
17,0.598280,0.086113,10883,4,4
16,0.588630,0.081288,11187,5,4
16,0.583844,0.078895,11420,5,4
6,0.483215,0.028580,10974,5,4
8,0.504253,0.039099,11498,4,4
12,0.550559,0.062252,11904,4,4
21,0.641259,0.107602,12186,4,4
15,0.575029,0.074487,12036,4,4
5,0.476532,0.025239,11275,4,4
6,0.483554,0.028750,11516,4,4
18,0.603826,0.088886,12295,5,4
7,0.496004,0.034975,11928,4,4
15,0.574423,0.074184,12332,5,4
10,0.523939,0.048942,12208,4,4
12,0.548277,0.061111,11971,4,4
12,0.549827,0.061886,12044,5,4
9,0.519342,0.046644,11859,5,4
14,0.569765,0.071855,12084,5,4
6,0.487593,0.030769,11277,5,4
7,0.502230,0.038087,11413,4,4
6,0.486821,0.030383,11266,5,4
13,0.554120,0.064033,11986,4,4
18,0.607434,0.090690,12045,4,4
10,0.529340,0.051642,11756,4,4
6,0.487850,0.030898,10969,5,4
6,0.484216,0.029081,10822,2,3
11,0.535919,0.054932,11615,2,3
19,0.614509,0.094227,11787,5,4
16,0.583568,0.078757,11810,5,4
11,0.533176,0.053560,11464,5,4
7,0.493455,0.033700,11361,5,4
18,0.608711,0.091328,12020,5,4
16,0.589421,0.081683,11914,2,3
15,0.581083,0.077514,11766,5,4
14,0.572019,0.072982,11667,5,4
18,0.610781,0.092363,11647,4,4
29,0.717158,0.145552,11488,4,4
31,0.740291,0.157118,11006,4,4
16,0.583966,0.078956,10495,4,4
10,0.530384,0.052165,10192,4,4
14,0.565094,0.069520,10157,5,4
9,0.512384,0.043164,10341,5,4
16,0.585048,0.079497,10470,5,4
10,0.526520,0.050233,10378,5,4
6,0.491917,0.032931,9650,4,4
11,0.542085,0.058015,10199,5,4
17,0.600112,0.087029,10115,4,4
23,0.655720,0.114833,9721,4,4
12,0.547430,0.060688,9242,4,4
11,0.542230,0.058088,9066,4,4
5,0.474726,0.024336,8435,4,4
13,0.555795,0.064870,9085,4,4
22,0.649723,0.111834,9378,4,4
12,0.547099,0.060522,9362,4,4
9,0.517141,0.045543,9453,4,4
14,0.565435,0.069690,9608,2,3
8,0.509499,0.041722,9378,4,4
21,0.636546,0.105246,9710,2,3
11,0.537712,0.055829,9343,6,5
8,0.507298,0.040621,9103,4,4
9,0.514912,0.044429,9163,8,6
11,0.538588,0.056267,9355,6,5
26,0.690278,0.132111,9467,2,3
11,0.535814,0.054879,9418,6,5
5,0.477032,0.025488,8890,2,3
6,0.490008,0.031977,9096,2,3
16,0.583056,0.078501,9573,2,3
22,0.652995,0.113470,9514,9,6
6,0.490621,0.032283,8817,6,5
5,0.474537,0.024241,8671,4,4
5,0.476954,0.025449,8476,4,4
15,0.582326,0.078136,9225,2,3
28,0.709169,0.141557,9262,4,4
11,0.535963,0.054954,9155,9,6
7,0.492752,0.033348,8759,4,4
8,0.505847,0.039896,8867,9,6
7,0.501903,0.037924,8578,6,5
9,0.515701,0.044823,9028,4,4
16,0.593136,0.083541,9036,4,4
10,0.522766,0.048355,8587,4,4
11,0.539710,0.056828,8545,2,3
10,0.527133,0.050539,8621,4,4
21,0.642286,0.108116,8756,4,4
9,0.515489,0.044717,8613,4,4
7,0.499152,0.036548,8422,4,4
10,0.526007,0.049976,8671,4,4
12,0.546350,0.060147,8828,4,4
16,0.584489,0.079217,8638,6,5
12,0.545930,0.059937,8421,6,5
10,0.529753,0.051849,8464,6,5
8,0.502430,0.038187,8267,4,4
16,0.589297,0.081621,8550,2,3
29,0.715688,0.144817,8656,4,4
19,0.615528,0.094737,8703,8,5
5,0.475453,0.024699,7823,8,5
11,0.535064,0.054505,8665,6,5
19,0.618733,0.096339,8774,4,4
9,0.520476,0.047211,8183,4,4
17,0.602091,0.088018,8600,2,3
8,0.509043,0.041494,8026,4,4
5,0.480915,0.027430,7770,6,5
10,0.529875,0.051910,8353,6,5
14,0.563746,0.068846,8238,6,5
24,0.671078,0.122512,8493,4,4
12,0.546094,0.060020,8156,4,4
15,0.575645,0.074795,8070,4,4
9,0.521861,0.047903,7706,4,4
11,0.533863,0.053904,7708,8,5
17,0.601378,0.087661,7767,8,6
7,0.502086,0.038015,7251,6,5
6,0.485895,0.029920,6947,4,4
7,0.495330,0.034638,6966,6,5
12,0.546774,0.060360,7189,4,4
11,0.540211,0.057078,7164,8,5
11,0.537301,0.055623,6932,8,5
10,0.526168,0.050056,7160,2,3
9,0.513049,0.043497,6875,4,4
9,0.514816,0.044380,6948,4,4
12,0.549807,0.061876,6929,6,5
28,0.709674,0.141810,7080,4,4
13,0.555352,0.064648,7008,8,5
5,0.481140,0.027543,6538,4,4
10,0.529344,0.051645,7069,4,4
12,0.546728,0.060337,7063,6,5
15,0.580723,0.077334,7042,8,6
17,0.601684,0.087815,7002,6,5
8,0.504918,0.039432,6786,4,4
10,0.532323,0.053134,6903,2,3
9,0.521239,0.047592,6898,2,3
14,0.567062,0.070504,6990,2,3
8,0.505653,0.039799,6519,2,3
7,0.495092,0.034519,6641,6,5
10,0.528037,0.050991,6880,8,5
12,0.549326,0.061635,6849,6,5
18,0.606268,0.090106,7058,4,4
11,0.536381,0.055163,6893,2,3
17,0.600726,0.087336,6994,2,3
5,0.475462,0.024704,6394,4,4
12,0.545601,0.059773,6739,8,6
23,0.660907,0.117426,6863,8,5
9,0.518099,0.046022,6593,8,6
5,0.475197,0.024571,6172,4,4
6,0.483272,0.028609,6233,2,3
21,0.637700,0.105822,6661,6,5
21,0.638921,0.106433,6567,2,3
6,0.487732,0.030838,6199,8,5
10,0.530503,0.052224,6666,5,4
7,0.495390,0.034668,6693,4,4
9,0.512775,0.043360,6934,4,4
17,0.595077,0.084511,7439,4,4
10,0.528741,0.051343,7129,4,4
8,0.511174,0.042559,7091,5,4
8,0.510008,0.041977,7119,4,4
9,0.517464,0.045705,7113,5,4
15,0.579335,0.076640,7114,5,4
10,0.524784,0.049365,6886,4,4
10,0.525116,0.049531,6766,5,4
6,0.487218,0.030582,6544,4,4
12,0.542831,0.058388,6941,4,4
10,0.526692,0.050319,6917,5,4
9,0.515312,0.044629,6844,4,4
5,0.474021,0.023983,6135,4,4
7,0.495913,0.034929,6354,4,4
9,0.520242,0.047094,6432,4,4
18,0.605207,0.089576,6509,4,4
14,0.565590,0.069768,6200,5,4
8,0.506428,0.040186,5869,2,3
9,0.521807,0.047876,5992,5,4
7,0.499981,0.036963,5689,5,4
10,0.522461,0.048203,5842,2,3
13,0.560437,0.067191,5937,4,4
11,0.541466,0.057705,5749,5,4
7,0.492254,0.033100,5297,5,4
9,0.518974,0.046460,5339,2,3
11,0.536780,0.055363,5345,5,4
13,0.562698,0.068322,5242,5,4
8,0.510472,0.042209,4958,4,4
8,0.510349,0.042147,5325,5,4
7,0.499141,0.036543,4884,6,4
11,0.533221,0.053583,5001,4,4
14,0.564098,0.069022,4988,5,4
8,0.506079,0.040012,4946,2,3
10,0.527898,0.050922,5203,5,4
8,0.506363,0.040154,5393,4,4
10,0.528519,0.051232,5485,4,4
18,0.603545,0.088745,5567,6,4
8,0.509801,0.041873,5412,6,4
7,0.493507,0.033726,5420,4,4
11,0.538834,0.056390,5942,5,4
14,0.563687,0.068816,6918,6,4
18,0.613313,0.093629,6649,4,4
14,0.572598,0.073271,6932,6,5
10,0.522800,0.048373,7047,6,4
8,0.505129,0.039537,7465,6,4
7,0.499308,0.036627,7468,4,4
14,0.565149,0.069547,7595,4,4
8,0.510038,0.041992,7621,6,4
9,0.522010,0.047977,7836,4,4
10,0.526712,0.050329,7823,4,4
8,0.510294,0.042120,7941,4,4
14,0.571711,0.072828,8275,6,4
13,0.559232,0.066589,8256,6,4
15,0.575427,0.074686,8236,6,5
11,0.534514,0.054230,8119,4,4
13,0.556578,0.065261,8541,6,4
10,0.526167,0.050056,8624,6,4
17,0.598269,0.086107,8509,4,4
15,0.577020,0.075482,8164,6,5
6,0.491852,0.032899,7442,6,4
7,0.501882,0.037913,7644,6,5
11,0.532631,0.053288,7958,4,4
14,0.567243,0.070594,7919,6,4
8,0.503598,0.038772,7867,6,4
9,0.515616,0.044781,7824,6,5
10,0.528774,0.051360,8242,4,4
10,0.526534,0.050240,8545,4,4
13,0.553400,0.063673,8399,6,4
13,0.560567,0.067256,8464,4,4
12,0.551228,0.062586,7776,4,4
11,0.540009,0.056977,7725,6,4
16,0.586562,0.080254,7746,6,5
20,0.624233,0.099089,7866,2,3
21,0.634091,0.104018,7915,2,3
14,0.566858,0.070402,7961,6,4
13,0.553795,0.063870,8054,6,4
15,0.573942,0.073944,8087,4,4
31,0.744378,0.159162,8801,6,5
25,0.676510,0.125228,7718,4,4
9,0.518884,0.046415,7397,4,4
15,0.579336,0.076641,7546,6,4
15,0.573265,0.073605,7916,6,4
