subframe_nums,imu_acc_noise_std,imu_gyr_noise_std,pts_used,opt_iter_count,rematch_num
34,0.366290,0.169690,11288,10,6
38,0.416278,0.194684,12478,0,1
57,0.598305,0.285698,12737,7,5
56,0.589851,0.281471,12253,2,3
54,0.574595,0.273843,12556,9,6
38,0.412447,0.192768,12612,10,5
22,0.246175,0.109633,4709,4,4
18,0.206281,0.089686,4421,2,3
20,0.227564,0.100327,7306,8,6
35,0.382853,0.177971,7915,6,5
28,0.307687,0.140388,7354,0,1
42,0.454810,0.213950,12916,4,4
46,0.491017,0.232054,13094,4,4
42,0.447527,0.210308,10210,2,3
51,0.545779,0.259435,12363,9,6
37,0.403859,0.188475,12549,4,4
51,0.542166,0.257628,10481,4,4
46,0.487425,0.230258,11760,8,6
66,0.693520,0.333305,14696,9,6
49,0.522979,0.248034,11431,4,4
47,0.500089,0.236589,11587,2,3
74,0.776252,0.374671,15746,4,4
40,0.432206,0.202648,10405,6,5
40,0.435249,0.204170,8832,4,4
54,0.571995,0.272543,12399,4,4
51,0.540355,0.256723,14032,8,6
40,0.434552,0.203821,9325,4,4
47,0.504178,0.238634,12176,9,6
51,0.542734,0.257912,13124,8,6
38,0.409397,0.191244,10747,2,3
54,0.571669,0.272380,13224,6,5
42,0.449152,0.211121,12659,4,4
39,0.417587,0.195339,10046,2,3
43,0.460401,0.216746,11449,4,4
71,0.742274,0.357682,15268,6,5
29,0.324244,0.148667,10539,2,3
45,0.480384,0.226737,10725,9,6
65,0.683838,0.328464,15255,9,6
23,0.264050,0.118570,12292,4,4
73,0.761507,0.367298,13953,8,6
63,0.665988,0.319539,13781,10,7
53,0.561204,0.267147,12343,4,4
56,0.594723,0.283906,14187,6,5
32,0.350312,0.161701,11155,6,5
59,0.627785,0.300438,13675,6,5
61,0.639319,0.306205,13775,4,4
37,0.400857,0.186974,10908,4,4
44,0.472404,0.222747,12232,4,4
19,0.218916,0.096003,11156,4,4
47,0.500372,0.236731,13215,4,4
41,0.442278,0.207684,12457,6,5
47,0.505646,0.239368,13900,4,4
38,0.415606,0.194348,13890,4,4
36,0.395483,0.184287,12868,4,4
45,0.484024,0.228557,12024,6,5
29,0.317226,0.145158,10787,2,3
64,0.675201,0.324145,10997,11,7
28,0.310769,0.141929,9680,10,7
79,0.824254,0.398672,13917,2,3
44,0.475915,0.224502,11639,4,4
46,0.491648,0.232369,12327,4,4
20,0.230015,0.101552,8688,6,5
71,0.745615,0.359353,14311,4,4
40,0.431233,0.202162,11731,4,4
33,0.355983,0.164536,10781,4,4
18,0.212439,0.092765,10271,11,7
55,0.581996,0.277543,12977,4,4
58,0.608434,0.290762,13648,4,4
34,0.366093,0.169591,9728,4,4
85,0.890837,0.431964,14863,4,4
34,0.366886,0.169988,12826,4,4
46,0.490738,0.231914,13629,2,3
26,0.291556,0.132323,8690,4,4
58,0.616945,0.295018,13602,6,5
49,0.525661,0.249376,13914,6,5
44,0.468545,0.220818,11208,2,3
75,0.788149,0.380620,15144,11,7
51,0.544493,0.258791,12757,2,3
70,0.738563,0.355827,13968,6,5
61,0.645579,0.309335,13809,4,4
72,0.751507,0.362298,15186,4,4
40,0.431380,0.202235,12408,4,4
40,0.432505,0.202798,10994,8,6
70,0.737731,0.355411,13744,2,3
36,0.395888,0.184489,12028,2,3
62,0.648633,0.310862,13672,2,3
29,0.316484,0.144787,6312,4,4
50,0.534510,0.253800,13272,2,3
28,0.306075,0.139583,10843,0,0
14,0.170042,0.071566,4964,2,3
16,0.185029,0.079059,4560,9,6
25,0.284174,0.128632,5713,4,4
21,0.241037,0.107064,3058,4,4
37,0.396107,0.184598,8539,4,4
32,0.346956,0.160023,10478,4,4
30,0.331386,0.152238,7863,8,6
24,0.274877,0.123984,11375,2,3
21,0.242366,0.107728,10969,2,3
18,0.207701,0.090396,6434,6,5
24,0.265884,0.119487,5782,4,4
28,0.314940,0.144015,7933,0,0
24,0.266445,0.119768,11928,0,0
35,0.383966,0.178528,11507,6,5
16,0.190611,0.081850,11384,4,4
14,0.166406,0.069748,11666,2,3
18,0.207316,0.090203,12813,6,5
53,0.564037,0.268564,14041,8,6
37,0.401468,0.187279,13650,8,6
26,0.287654,0.130372,12867,4,4
41,0.442636,0.207863,13343,10,7
33,0.356585,0.164837,12598,6,5
54,0.573516,0.273303,12118,11,7
54,0.577897,0.275493,12955,0,0
30,0.326030,0.149560,11388,0,0
61,0.647864,0.310477,16466,4,4
50,0.528259,0.250674,12931,2,3
68,0.719149,0.346119,14889,2,3
34,0.370923,0.172007,11588,7,5
62,0.652360,0.312725,13471,11,7
50,0.527938,0.250514,13322,4,4
46,0.495541,0.234315,10940,6,5
48,0.514055,0.243572,12538,11,7
38,0.409803,0.191447,10607,6,5
37,0.403191,0.188140,6361,4,4
27,0.303121,0.138106,8979,0,2
38,0.409189,0.191140,9264,2,3
55,0.579788,0.276439,12365,2,3
36,0.387078,0.180084,8088,2,3
50,0.532858,0.252974,10867,2,3
55,0.587626,0.280358,13056,5,4
35,0.378936,0.176013,12250,10,7
39,0.417297,0.195193,8821,6,5
68,0.710009,0.341549,13391,4,4
42,0.454608,0.213849,10365,2,3
45,0.482649,0.227869,11385,6,5
56,0.597834,0.285462,11302,4,4
52,0.550848,0.261969,10926,2,3
38,0.411027,0.192059,11261,4,4
28,0.311157,0.142123,6366,6,5
35,0.380204,0.176647,7771,2,3
47,0.501597,0.237343,12708,0,0
52,0.548825,0.260957,10969,10,7
48,0.509174,0.241132,11143,6,5
58,0.618236,0.295663,13868,6,5
70,0.736706,0.354898,15250,6,5
67,0.700931,0.337010,14560,4,4
48,0.514202,0.243646,12666,4,4
38,0.415916,0.194503,9347,2,3
67,0.705771,0.339431,14887,8,6
29,0.316379,0.144735,11645,2,3
56,0.596109,0.284599,14403,6,5
32,0.350682,0.161886,10086,2,3
41,0.437191,0.205140,12378,6,5
67,0.705353,0.339222,14013,7,5
44,0.473024,0.223057,7652,4,4
75,0.784710,0.378900,14874,4,4
33,0.360523,0.166806,9227,4,4
33,0.364775,0.168933,11607,4,4
25,0.284455,0.128773,6451,4,4
82,0.860474,0.416782,15284,6,5
33,0.364185,0.168637,9807,6,5
49,0.522509,0.247799,13402,4,4
25,0.283943,0.128516,10334,4,4
83,0.866232,0.419661,14656,6,5
37,0.399906,0.186498,11758,4,4
31,0.339191,0.156140,10716,6,5
33,0.356233,0.164662,9985,6,5
56,0.593154,0.283122,13983,4,4
24,0.265857,0.119474,9836,8,6
57,0.605617,0.289353,15074,4,4
26,0.294383,0.133736,7416,8,6
73,0.766469,0.369780,14163,4,4
44,0.474458,0.223774,13581,4,4
38,0.415404,0.194247,12130,4,4
46,0.496524,0.234807,10582,2,3
69,0.728235,0.350662,13116,8,6
40,0.430238,0.201664,12300,6,5
33,0.357148,0.165119,7112,6,5
54,0.572029,0.272560,14015,4,4
47,0.500399,0.236745,11021,2,3
33,0.360441,0.166765,10249,6,5
32,0.348370,0.160730,8374,4,4
55,0.578491,0.275790,12980,4,4
64,0.672750,0.322920,15255,4,4
48,0.514358,0.243724,12930,4,4
40,0.434324,0.203707,11769,4,4
59,0.620797,0.296944,13856,9,6
46,0.488316,0.230703,14467,4,4
57,0.601079,0.287084,13984,4,4
25,0.283306,0.128198,8272,9,6
52,0.554906,0.263998,13231,4,4
21,0.236124,0.104607,12107,6,5
51,0.544380,0.258735,12811,11,7
30,0.327870,0.150480,8885,8,6
40,0.430694,0.201892,12535,4,4
28,0.307583,0.140337,12959,2,3
28,0.307174,0.140132,10712,8,6
20,0.225771,0.099431,8121,6,5
20,0.234168,0.103629,6255,4,4
28,0.315069,0.144079,12562,2,3
18,0.207512,0.090301,11796,4,4
11,0.140234,0.056662,6283,4,4
33,0.364549,0.168819,8109,2,3
33,0.363603,0.168347,7920,4,4
32,0.352402,0.162746,13136,2,3
24,0.266016,0.119553,9176,6,5
31,0.342001,0.157545,8572,4,4
27,0.304582,0.138836,7869,2,3
41,0.439155,0.206123,10466,2,3
42,0.455415,0.214253,10956,8,6
20,0.224647,0.098869,8341,6,5
46,0.497017,0.235054,12783,4,4
40,0.430070,0.201580,9927,4,4
36,0.393756,0.183423,10838,6,5
42,0.451516,0.212303,11849,8,6
31,0.345327,0.159209,11720,2,3
46,0.494197,0.233644,11340,4,4
35,0.377696,0.175393,6885,4,4
24,0.274474,0.123782,8292,6,5
23,0.264638,0.118864,10954,4,4
26,0.291898,0.132494,7108,0,0
12,0.147883,0.060487,4747,2,3
48,0.509895,0.241492,12271,6,5
50,0.529969,0.251530,11722,2,3
43,0.464465,0.218777,12501,2,3
38,0.412509,0.192799,8950,4,4
25,0.275015,0.124053,8310,6,5
42,0.456438,0.214764,9766,4,4
17,0.197856,0.085473,3962,4,4
30,0.332829,0.152959,10648,4,4
26,0.287662,0.130376,9605,4,4
23,0.260791,0.116940,5951,4,4
52,0.552851,0.262970,10905,0,2
42,0.454039,0.213564,9814,0,0
28,0.310380,0.141735,11702,4,4
23,0.258333,0.115712,8870,2,3
18,0.211209,0.092150,5343,2,3
56,0.596351,0.284720,14460,2,3
56,0.594065,0.283578,14064,9,6
50,0.528343,0.250717,13210,6,5
53,0.562999,0.268044,10401,4,4
41,0.441199,0.207145,11237,4,4
69,0.726630,0.349860,13935,6,5
59,0.618392,0.295741,12202,11,7
56,0.596375,0.284733,12340,6,5
62,0.655047,0.314069,13993,0,0
34,0.370371,0.171730,4902,4,4
59,0.622664,0.297877,12302,4,4
57,0.601419,0.287254,14294,0,0
37,0.401399,0.187245,4827,6,5
64,0.670177,0.321634,12670,6,5
47,0.505369,0.239230,13076,2,3
47,0.500678,0.236884,8753,4,4
60,0.635690,0.304390,14403,6,5
31,0.345129,0.159109,11785,2,3
23,0.258085,0.115588,12303,9,5
30,0.333040,0.153065,10494,2,3
16,0.190471,0.081781,11945,0,0
11,0.137470,0.055280,11176,2,3
4,0.063744,0.018417,11258,6,5
3,0.057552,0.015321,9913,4,4
6,0.083683,0.028386,7170,9,6
5,0.076143,0.024617,5322,8,6
3,0.058754,0.015922,5479,9,6
7,0.098106,0.035598,9054,4,4
8,0.107861,0.040475,10934,4,4
4,0.064290,0.018690,9306,0,0
9,0.119407,0.046249,9498,4,4
6,0.089912,0.031501,8408,4,4
3,0.053373,0.013232,10257,4,4
5,0.075049,0.024069,10261,9,5
4,0.067913,0.020502,7545,4,4
6,0.086545,0.029817,7209,8,6
4,0.065850,0.019470,5155,6,5
3,0.059064,0.016077,5284,4,4
2,0.052166,0.012628,5075,2,3
4,0.063404,0.018247,5329,4,4
3,0.057861,0.015475,5399,4,4
2,0.047111,0.010101,5737,4,4
3,0.060669,0.016880,5659,9,6
2,0.047566,0.010328,4961,9,6
2,0.050375,0.011733,5509,4,4
2,0.052073,0.012582,5318,9,6
2,0.050453,0.011772,5069,4,4
2,0.050919,0.012005,4665,5,4
3,0.053181,0.013136,4538,8,6
2,0.043114,0.008102,4950,2,3
2,0.047420,0.010255,5121,9,6
8,0.103795,0.038443,6085,8,6
3,0.056791,0.014941,6060,6,5
4,0.065661,0.019376,6050,8,6
2,0.047788,0.010439,5747,4,4
1,0.037891,0.005491,5807,2,3
2,0.045602,0.009346,6125,4,4
2,0.044563,0.008826,5236,4,4
1,0.033761,0.003425,5387,9,6
1,0.033405,0.003248,5262,7,5
1,0.033164,0.003127,5220,6,5
1,0.033536,0.003313,5350,4,4
1,0.033338,0.003214,5252,2,3
1,0.033278,0.003184,5224,4,4
1,0.033169,0.003130,5205,4,4
1,0.033151,0.003120,5287,8,6
1,0.036276,0.004683,5272,9,6
1,0.039377,0.006234,5361,6,5
1,0.040638,0.006864,5444,4,4
1,0.034542,0.003816,5150,8,6
1,0.033187,0.003139,5234,4,4
1,0.033189,0.003140,5249,4,4
1,0.033509,0.003300,5063,4,4
1,0.032915,0.003002,5331,4,4
1,0.034117,0.003604,5145,9,5
2,0.046396,0.009743,5287,2,3
1,0.040508,0.006799,5135,6,5
