#timestamp x y z q_x q_y q_z q_w
244.199169 0.000000000000000 0.000000000000000 0.000000000000000 0.003751142262618 -0.002092834478912 0.000000000000000 0.999990774445229
244.299816 -0.011610115006190 -0.010663768623795 -0.023534695102773 0.003566145867472 -0.004798098400869 0.000218582387353 0.999982106378473
244.399636 -0.007615593849082 -0.010411101624477 -0.009593858292329 0.004687480860680 -0.003142331873523 0.000163496942327 0.999984063144172
244.499489 -0.002768460307130 -0.025102641028918 -0.009062631556428 0.005792118547061 -0.002910966864660 0.001619990295414 0.999977676383874
244.599335 0.003624210988130 -0.035604127222559 -0.012370068221406 0.007148895848283 -0.003153330131291 0.001709020249083 0.999968014011959
244.699167 -0.001384867010112 -0.036407127534541 -0.010425097266159 0.006100387905205 -0.003441304308113 0.001857024336416 0.999973746731723
244.799812 -0.006699627249755 -0.052543496931533 -0.011769208128872 0.006425412591897 -0.003445993899922 0.002444794488764 0.999970430652314
244.899638 -0.011271980010115 -0.058016544614974 -0.011587472247094 0.006284542689189 -0.003406823051414 0.002575968081482 0.999971130817449
244.999485 -0.016897014752704 -0.050631862755663 -0.009797392249268 0.005681541076178 -0.003149463526178 0.002363118991821 0.999976108034151
245.099311 -0.016688425218055 -0.037562202367434 -0.013572144253683 0.006559296533918 -0.003157911637586 0.002221147327840 0.999971034444307
245.199148 -0.015845222066881 -0.029657618094974 -0.014166084840553 0.006218035216727 -0.003305883427398 0.001966991428950 0.999973268701482
245.299788 -0.014540954502626 -0.021002656807904 -0.013361265748372 0.006598792521213 -0.003426370939983 0.001690576546757 0.999970928512616
245.399620 -0.011303470981538 -0.010788665532183 -0.013389927816030 0.006614507601959 -0.003142332604083 0.001284318855474 0.999972361898101
245.499469 -0.010969659306383 -0.009648250151449 -0.017046933030368 0.006462032258376 -0.003412716044705 0.001418281886045 0.999972291608514
245.599292 -0.006141726301764 -0.011848240350634 -0.016511951133519 0.006420743891233 -0.003441931506642 0.001325242536573 0.999972585068014
245.699133 -0.006547119340550 -0.008952196632432 -0.019052161824730 0.006350841027929 -0.003789999412249 0.001087210982432 0.999972059957163
245.799776 -0.003877922504263 -0.008520527907317 -0.020199797686955 0.006673983042309 -0.003798891881737 0.000978956819237 0.999970033558190
245.899616 -0.001341815608109 -0.011675654687749 -0.019290008323785 0.006117522378438 -0.003777049463412 0.000803201608173 0.999973831999856
245.999455 -0.000382609369273 -0.013650259535725 -0.022257371367468 0.006348303523619 -0.004057150049828 0.000889128679100 0.999971223598978
246.099296 -0.000422306197744 -0.016356329949239 -0.018834607683977 0.006139355780871 -0.003856769538614 0.001057031828985 0.999973157801265
246.199138 -0.002287079646035 -0.020646330830573 -0.019235040280588 0.005819533289744 -0.003945073039070 0.001205385840326 0.999974557914341
246.299770 -0.000328908388097 -0.021317128152072 -0.020148009455729 0.006254114771112 -0.003902717245809 0.001013838572961 0.999972313105657
246.399602 0.000082301581429 -0.023060459051435 -0.019716180807526 0.006226073552001 -0.003930143872038 0.001001670340622 0.999972392935825
246.499435 -0.002027021527646 -0.021983179611662 -0.018242804029320 0.006303112346834 -0.003919503836359 0.000796527351976 0.999972136516112
246.599287 -0.003568975708184 -0.017849748357207 -0.015767610267149 0.005835660743466 -0.003758844935494 0.000575222671597 0.999975742339441
246.699117 -0.004604260844668 -0.016765669944672 -0.017947215430871 0.005769426282001 -0.003978761425051 0.000894647812059 0.999975041080122
246.799752 -0.006041850554904 -0.016593955414400 -0.017782675710521 0.005888764854177 -0.004094829441086 0.000882865737371 0.999973887343280
246.899595 -0.006519769095232 -0.014900263850130 -0.018776141900743 0.005771675200070 -0.004152458989474 0.000874293210526 0.999974339901334
246.999427 -0.005364944704916 -0.018381412614293 -0.019261583887897 0.005906295791798 -0.004088059053113 0.000785482055270 0.999973892889779
247.099271 -0.006203806164987 -0.024457214065836 -0.017153660140220 0.005623400145138 -0.003977831021156 0.001131189354966 0.999975637024132
247.199515 -0.006216424668630 -0.026645665857761 -0.016203902449356 0.005671068718395 -0.003824833440301 0.001114116887884 0.999975983897766
247.299350 -0.006392745980886 -0.029049708657055 -0.016166783316959 0.005611339954019 -0.003760083820615 0.001230296628070 0.999976430224128
247.399192 -0.006444185549389 -0.030693996557424 -0.016568080079141 0.005840513261602 -0.003751103753962 0.001169235315777 0.999975224950221
247.499823 -0.006431686953216 -0.032855291261976 -0.018589652217675 0.006166656935741 -0.003692976007176 0.001005280686406 0.999973661493736
